Measure,Reporting_Period_Start_Date,Reporting_Period_End_Date,Sex,Age_Band,Numerator,Denominator,Percentage
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,45 to 54,2630,5025,52.33830846
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,0 to 9,1855,5570,33.30341113
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,35 to 44,5160,10790,47.82205746
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,35 to 44,6995,15105,46.30916915
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,18 to 24,8525,15545,54.84078482
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,0 to 9,6990,17305,40.39295001
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,10 to 17,10040,19425,51.68597169
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,25 to 34,9895,20455,48.37448057
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,18 to 24,22370,32575,68.6722947
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,25 to 34,23275,41040,56.71296296
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,10 to 17,33730,54230,62.19804536
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,75 and over,15,145,10.34482759
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,75 and over,35,155,22.58064516
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,65 to 74,165,420,39.28571429
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,65 to 74,190,490,38.7755102
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,55 to 64,1210,2610,46.36015326
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,55 to 64,1220,2830,43.10954064
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,0 to 9,2010,6780,29.6460177
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,45 to 54,3515,7070,49.71711457
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,45 to 54,3740,8170,45.77723378
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,35 to 44,7590,17555,43.23554543
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,0 to 9,7170,19655,36.47926736
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,18 to 24,10290,19875,51.77358491
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,35 to 44,9485,20540,46.1781889
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,10 to 17,11955,25045,47.73407866
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,female,25 to 34,13190,28950,45.56131261
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,18 to 24,24475,36400,67.23901099
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,25 to 34,26660,46610,57.19802617
ADHD_medication_with_ADHD_diagnosis,01/04/2024,31/03/2025,male,10 to 17,36990,62845,58.85909778
